gpw_v4_count.2000.mean,gpw_v4_count.2005.mean,gpw_v4_count.2010.mean,gpw_v4_density.2000.mean,gpw_v4_density.2005.mean,gpw_v4_density.2010.mean,v4composites_calibrated_201709.1998.mean,v4composites_calibrated_201709.1999.mean,v4composites_calibrated_201709.2000.mean,v4composites_calibrated_201709.2001.mean,v4composites_calibrated_201709.2002.mean,v4composites_calibrated_201709.2003.mean,v4composites_calibrated_201709.2004.mean,v4composites_calibrated_201709.2005.mean,v4composites_calibrated_201709.2006.mean,v4composites_calibrated_201709.2007.mean,v4composites_calibrated_201709.2008.mean,v4composites_calibrated_201709.2009.mean,v4composites_calibrated_201709.2010.mean,v4composites_calibrated_201709.1998.max,v4composites_calibrated_201709.1999.max,v4composites_calibrated_201709.2000.max,v4composites_calibrated_201709.2001.max,v4composites_calibrated_201709.2002.max,v4composites_calibrated_201709.2003.max,v4composites_calibrated_201709.2004.max,v4composites_calibrated_201709.2005.max,v4composites_calibrated_201709.2006.max,v4composites_calibrated_201709.2007.max,v4composites_calibrated_201709.2008.max,v4composites_calibrated_201709.2009.max,v4composites_calibrated_201709.2010.max,v4composites_calibrated_201709.1998.min,v4composites_calibrated_201709.1999.min,v4composites_calibrated_201709.2000.min,v4composites_calibrated_201709.2001.min,v4composites_calibrated_201709.2002.min,v4composites_calibrated_201709.2003.min,v4composites_calibrated_201709.2004.min,v4composites_calibrated_201709.2005.min,v4composites_calibrated_201709.2006.min,v4composites_calibrated_201709.2007.min,v4composites_calibrated_201709.2008.min,v4composites_calibrated_201709.2009.min,v4composites_calibrated_201709.2010.min,accessibility_map.na.mean,gdp_grid.na.mean,diamond_distance_201708.na.sum,onshore_petroleum_v12.na.sum,GID_0,NAME_0,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1
244.082634255,277.198256003,317.666940939,284.10179638,322.646063479,369.748772417,0.0992806194603,0.0,0.0743401813681,0.0564678235198,0.0,0.0,0.0,0.0463652435136,0.530425948364,0.0815533072938,0.062460495201,0.0206754791986,0.0895413997626,9.0,0.0,7.0,6.0,0.0,0.0,0.0,8.0,23.0,10.0,9.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,212.810028354,0.18992684925,317161083.581,NA,BDI,Burundi,BDI.1_1,Bubanza,,,Province,Province,003BDI001,BI.BB
2128.37137484,2833.52862718,3794.80469753,2593.10602442,3452.39131349,4623.80387249,14.6328580653,15.0923097559,14.6253488093,12.7885317083,12.1215354609,13.7239730076,13.1865849711,13.6242529791,15.7976606887,15.0921618746,14.1792107694,15.9515506067,13.6706087426,63.0,63.0,61.0,56.0,48.0,62.0,59.0,58.0,56.0,51.0,48.0,57.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.3421636897,4.15002779587,61199364.4488,0.0,BDI,Burundi,BDI.2_1,Bujumbura Mairie,,,Province,Province,003BDI017,BI.BM
338.065649122,404.808148142,487.816116436,405.294256884,485.891150099,586.301318834,0.390510948303,0.254464710355,0.524083873018,0.413458006383,0.638563545442,0.367185376512,0.357056782225,0.249478015857,0.573942947262,0.499284621368,0.526085499872,0.514253555835,0.718376489996,48.0,29.0,41.0,39.0,38.0,38.0,40.0,26.0,25.0,33.0,36.0,44.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99.8422320666,0.200096751277,462984456.16,NA,BDI,Burundi,BDI.3_1,Bujumbura Rural,Usumbura,,Province,Province,003BDI002,BI.BU
161.940228618,195.696028717,239.492588214,192.682330988,233.568501858,286.800498817,0.0162140969029,0.0184128293104,0.0327031933257,0.0327033065356,0.020885718136,0.0307793825589,0.0318785605702,0.0145654465972,0.0258329249112,0.026932027876,0.0263822948905,0.0164888636631,0.0541383322008,6.0,7.0,8.0,5.0,6.0,6.0,7.0,7.0,7.0,6.0,7.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.727777918,0.0275420434316,871219800.837,NA,BDI,Burundi,BDI.4_1,Bururi,,,Province,Province,003BDI003,BI.BR
82.1946451294,100.054357612,122.863138085,95.6615158511,116.447277753,142.992947763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0171975087131,0.0,0.0646401402938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.581723488,0.0153215526406,368511915.929,NA,BDI,Burundi,BDI.5_1,Cankuzo,,,Province,Province,003BDI004,BI.CA
217.681898292,250.152627133,290.021296159,253.434702337,291.248281116,337.678812141,0.015936881929,0.0129949089878,0.0,0.0315695336428,0.0,0.0,0.0,0.0401693077167,0.16460786644,0.0,0.0,0.0,0.0950493940416,6.0,6.0,0.0,5.0,0.0,0.0,0.0,7.0,12.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.575907547,0.0799708594544,502643668.543,0.0,BDI,Burundi,BDI.6_1,Cibitoke,,,Province,Province,003BDI005,BI.CI
290.906567252,328.179700305,373.420342636,338.665493769,382.057406392,434.724746339,0.204401122211,0.223714621304,0.198293120637,0.186525516049,0.205007924606,0.171065032849,0.164612352062,0.11523040719,0.201541232736,0.210327511291,0.17306513578,0.205097970307,0.260728275144,9.0,10.0,10.0,9.0,9.0,10.0,11.0,11.0,14.0,12.0,11.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.4145626108,0.101915069539,475179113.635,NA,BDI,Burundi,BDI.7_1,Gitega,Kitega,,Province,Province,003BDI006,BI.GI
240.100270636,268.230654943,303.495637188,279.419707077,312.158175121,353.200041988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0395604295591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122.745325036,0.0404275348442,335234566.527,NA,BDI,Burundi,BDI.8_1,Karuzi,Karusi,,Province,Province,003BDI007,BI.KR
346.572448796,411.723944071,499.354845501,403.466305219,479.307974464,581.315929334,0.0463544370806,0.0260769550826,0.0408124692691,0.0592140932829,0.0365162820605,0.0,0.0214802481709,0.0,0.0,0.0293565399119,0.0300722388997,0.0386642454462,0.078760792467,6.0,6.0,6.0,5.0,6.0,0.0,6.0,0.0,0.0,6.0,6.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.481094197,0.0638372536726,331215798.844,NA,BDI,Burundi,BDI.9_1,Kayanza,,,Province,Province,003BDI008,BI.KY
262.329138776,309.005626566,367.815993239,320.814051648,378.600882094,451.474612325,0.0,0.0,0.0,0.0,0.0,0.0,0.0118923078749,0.0,0.0,0.0,0.0,0.0,0.0517867121479,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.586914906,0.0425876176525,446397440.293,NA,BDI,Burundi,BDI.10_1,Kirundo,,,Province,Province,003BDI009,BI.KI
165.045539747,190.664211435,223.546857109,194.8445636,225.489411171,264.873902469,0.0,0.0,0.00190495819311,0.0,0.0,0.0,0.0,0.0,0.0,0.00828149736088,0.00993771327134,0.0271632054881,0.0721342593575,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.467030265,0.0222461308848,688781073.848,NA,BDI,Burundi,BDI.11_1,Makamba,,,Province,Province,003BDI010,BI.MA
333.695415623,377.556931459,430.266043942,388.400239226,439.452555219,500.802983843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.543697376,0.0435253345289,184244085.214,NA,BDI,Burundi,BDI.12_1,Muramvya,Muramviya,,Province,Province,003BDI011,BI.MV
239.679770531,287.11695469,357.213783537,279.432314811,334.950600997,417.042365121,0.0183885748891,0.0,0.0245160506906,0.0301763229942,0.0297045604404,0.0188601091913,0.0140561778058,0.0,0.0,0.0212176309664,0.0282901177658,0.0490362857225,0.0796837695324,6.0,0.0,7.0,5.0,6.0,6.0,7.0,0.0,0.0,5.0,6.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.094024227,0.0425436550575,409583971.265,NA,BDI,Burundi,BDI.13_1,Muyinga,Muhinga,,Province,Province,003BDI012,BI.MY
248.558492418,285.633756897,330.360064572,289.36844273,332.531444328,384.601846346,0.0185611922823,0.018981669002,0.0123057690287,0.00696303438294,0.00902419342165,0.00851149380052,0.0,0.0,0.0,0.000717840014336,0.0,0.0,0.0145208105081,9.0,7.0,6.0,6.0,6.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.096841013,0.0416117751835,220382554.374,NA,BDI,Burundi,BDI.14_1,Mwaro,,,Province,Province,003BDI013,BI.MW
372.867765252,408.080931285,459.72841674,433.836953438,474.809557413,534.904084755,0.102286152467,0.101083333784,0.131769140658,0.101083165298,0.10770073852,0.0986760948086,0.138387010108,0.0860417095208,0.110108867741,0.101083111757,0.13959036447,0.135378511787,0.188326210984,9.0,9.0,8.0,8.0,7.0,9.0,10.0,8.0,9.0,8.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.149643038,0.0929560854568,366798567.309,NA,BDI,Burundi,BDI.15_1,Ngozi,,,Province,Province,003BDI014,BI.NG
119.581379416,147.257800608,184.778257291,139.274586523,171.50979565,215.210539865,0.0297373600574,0.0388874615133,0.0530010985682,0.0370574765991,0.0164698160906,0.0155548939475,0.0164698348287,0.0,0.0,0.0182998710768,0.0,0.0,0.0811457961161,6.0,7.0,7.0,6.0,6.0,6.0,6.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.533965355,0.0200954340053,431591815.585,0.0,BDI,Burundi,BDI.16_1,Rutana,,,Province,Province,003BDI015,BI.RT
121.646882828,147.279407503,181.225394464,141.631798817,171.478082587,211.004814177,0.0,0.0,0.0,0.0,0.0,0.0,0.0143101959322,0.0,0.0,0.0112975597858,0.0323863646022,0.0369035689516,0.080212380628,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,5.0,7.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.130848868,0.0209500433918,482298511.805,NA,BDI,Burundi,BDI.17_1,Ruyigi,,,Province,Province,003BDI016,BI.RY
4.13057793222,4.76915387177,5.47903612087,4.83110336883,5.57782344344,6.40793653945,0.0,0.0,0.0,0.0,0.0,0.0,0.000734641543403,0.0,0.000148960648024,0.000819932858046,0.0,0.000378537553353,0.000809249964448,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,8.0,8.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,757.583887794,0.000972638932437,18119942939.9,NA,COD,Democratic Republic of the Congo,COD.1_1,Bas-Uélé,,,Province,Province,,CD.BU
10.0726859443,11.4869809248,13.0345298007,12.0025854184,13.6881544924,15.5328924095,0.00276590034716,0.00133901454804,0.00113816243255,0.00107958046717,0.00232686609174,0.00291235697835,0.00340558403741,0.00293883362389,0.00265481291474,0.00250561653233,0.00444822594661,0.00451462522692,0.00467645475325,9.0,9.0,7.0,6.0,7.0,9.0,10.0,8.0,9.0,8.0,10.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.520376452,0.00194919739908,28046090976.9,0.0,COD,Democratic Republic of the Congo,COD.2_1,Équateur,,,Province,Province,,CD.ET
13.6094445823,19.8975789969,28.9622747921,16.1668370508,23.6328967884,34.3956862336,0.0914844672314,0.0963946970852,0.100372203348,0.106567827227,0.104628191492,0.102685060643,0.0916568593023,0.0945826013626,0.100243155292,0.104650483049,0.128833050289,0.133991927548,0.128467010001,63.0,63.0,63.0,63.0,60.0,63.0,63.0,63.0,63.0,57.0,62.0,63.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.075591078,0.0146940290444,23776050534.1,NA,COD,Democratic Republic of the Congo,COD.3_1,Haut-Katanga,,,Province,Province,,CD.HK
11.4391785704,16.7501294924,24.4065277348,13.5471936215,19.836977869,28.9045123753,0.00404333248678,0.00548918524717,0.00552149671788,0.00542306299788,0.00501026038214,0.00572246656827,0.00872090497984,0.0044771836515,0.00551225744495,0.00687992139134,0.0057375737078,0.0111605445685,0.00833817131519,11.0,11.0,10.0,10.0,10.0,12.0,14.0,11.0,11.0,11.0,10.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.248932538,0.00242780902131,15920211127.1,0.0,COD,Democratic Republic of the Congo,COD.4_1,Haut-Lomami,,,Province,Province,,CD.HL
9.41443447812,10.8734774377,12.4955951727,10.9598565086,12.6584095952,14.5468071048,0.0,0.0011496741284,0.0,0.000298981161934,0.0,0.0,0.0012712667706,0.000906841746313,0.00291656616463,0.00086944790447,0.000785307812224,0.00128963063093,0.00200034565311,0.0,9.0,0.0,7.0,0.0,0.0,10.0,7.0,15.0,6.0,6.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.043098746,0.00292686360105,33020620591.8,0.0,COD,Democratic Republic of the Congo,COD.5_1,Haut-Uélé,,,Province,Province,,CD.HU
40.1702462124,46.3966330183,53.3203939097,46.9412263241,54.2170785954,62.3078355949,0.00518766880207,0.00359851512975,0.00500384758523,0.00572398609072,0.00324403071335,0.00608091204828,0.0143283905804,0.0101260840998,0.0132644562157,0.0140638280068,0.0123188394432,0.0124757362274,0.0175124601063,12.0,10.0,12.0,9.0,8.0,12.0,19.0,19.0,23.0,22.0,20.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,433.173113375,0.00871071401435,29739823512.9,NA,COD,Democratic Republic of the Congo,COD.6_1,Ituri,,,Province,Province,,CD.IT
16.3641661973,21.271185824,27.5100712527,19.2094792108,24.9687964673,32.2912446753,0.00294787106476,0.00139688219141,0.00144078336304,0.00134414658706,0.00189132018701,0.00271777323787,0.00401967409402,0.00562894500707,0.00424730966757,0.00503823271658,0.00584064473204,0.00405713231492,0.0064496047221,8.0,7.0,7.0,6.0,6.0,8.0,11.0,11.0,11.0,8.0,9.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,406.91004845,0.00363461074779,6469693361.44,NA,COD,Democratic Republic of the Congo,COD.9_1,Kasaï,,,Province,Province,,CD.KS
31.6590328443,41.1519371496,53.2237121887,37.0698398012,48.1851596038,62.320086623,0.00571197451673,0.00365925370175,0.00196349976619,0.00218661856911,0.00629197652674,0.0078985318914,0.0101892408564,0.00873172576217,0.00764575915687,0.00678301309056,0.0119443916079,0.0112899080491,0.0103082461974,11.0,7.0,6.0,7.0,11.0,12.0,14.0,11.0,12.0,10.0,15.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,313.865959852,0.00731411550073,3244939841.6,NA,COD,Democratic Republic of the Congo,COD.7_1,Kasaï-Central,,,Province,Province,,CD.LL
206.391737826,243.050552373,284.785329148,241.305793363,284.165992836,332.960844959,0.161966416373,0.131815888148,0.138210318868,0.131731701505,0.15257334742,0.197582218489,0.201577175948,0.266037200538,0.196273098107,0.0987589699755,0.0857176775449,0.129240495074,0.126416384136,32.0,29.0,28.0,30.0,26.0,32.0,40.0,46.0,39.0,21.0,19.0,23.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,151.491346728,0.0521841293189,244494869.55,NA,COD,Democratic Republic of the Congo,COD.8_1,Kasaï-Oriental,,,Province,Province,,CD.KO
417.689847002,441.786357988,464.908963588,502.646754472,531.970829102,560.081819813,2.1421038012,1.99453937696,2.15288447013,2.29937312265,2.17691901319,2.27498939202,2.37943628372,2.1612734388,2.02704964761,1.76726518319,1.93599404948,2.08600790727,1.52786145901,63.0,63.0,63.0,63.0,60.0,63.0,63.0,63.0,63.0,58.0,63.0,63.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.808992635,0.444353201264,1364281833.85,NA,COD,Democratic Republic of the Congo,COD.10_1,Kinshasa,,,Province,Province,,CD.KN
47.3540274448,45.6219522218,43.7923287724,56.0391789487,53.987735514,51.8204533303,0.387185579263,0.403883707232,0.375747969387,0.396045373297,0.383791051078,0.403212378986,0.41662789715,0.404158252402,0.389510327548,0.331435859644,0.348051300533,0.296870804037,0.301147851784,63.0,63.0,63.0,63.0,59.0,63.0,63.0,63.0,63.0,56.0,61.0,63.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296.899827129,0.0428630853468,8737742456.12,983.6000001728535,COD,Democratic Republic of the Congo,COD.11_1,Kongo-Central,,,Province,Province,,CD.BC
14.9044688401,15.7850500655,16.6335208108,17.4516834809,18.4825845988,19.475850174,0.00079994033184,0.0,0.000583715992905,0.0,0.0,0.000188694619577,0.0,0.000340388330539,0.0,0.0,0.00033858898239,0.00113477481117,0.000234948306572,8.0,0.0,6.0,0.0,0.0,5.0,0.0,6.0,0.0,0.0,9.0,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.462647926,0.00264594149198,7820461289.38,NA,COD,Democratic Republic of the Congo,COD.12_1,Kwango,,,Province,Province,,CD.KG
32.1953562662,34.101875417,35.9406245497,37.973244129,40.2225492318,42.3921417553,0.00190830728729,0.00182936111044,0.00260034050738,0.0015884278373,0.0028756479919,0.00418587001679,0.00577872848222,0.00774504350947,0.00879938095927,0.00828560021555,0.0129189808189,0.0140127449633,0.0147753703019,9.0,6.0,9.0,9.0,9.0,12.0,14.0,15.0,19.0,16.0,21.0,25.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.96699245,0.00835623231416,4709461329.28,NA,COD,Democratic Republic of the Congo,COD.13_1,Kwilu,,,Province,Province,,CD.KU
28.6444386147,33.7405859695,39.5463965373,33.5294033447,39.4946330172,46.2905458828,0.00384801900707,0.00147512694473,0.00322957789102,0.00189818794827,0.000517861760746,0.00577628677092,0.00460075918589,0.00461564761018,0.0,0.000408019528932,0.000753253877392,0.000753255552815,0.00179024743896,11.0,7.0,8.0,8.0,6.0,9.0,13.0,11.0,0.0,6.0,6.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.440513415,0.00488504680457,6090993172.25,NA,COD,Democratic Republic of the Congo,COD.14_1,Lomami,,,Province,Province,,CD.LM
5.08614581481,7.44738903968,10.8507317721,6.0105791816,8.80085782161,12.82253904,0.0312308593136,0.029919320922,0.0279820635551,0.0276702978436,0.0230444439028,0.0267501195357,0.0315702754031,0.0283459648677,0.0326467201942,0.0346434411163,0.0498321212745,0.0565491302968,0.0655272412524,42.0,43.0,40.0,35.0,29.0,37.0,36.0,40.0,44.0,32.0,36.0,39.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,564.408737363,0.00489207447188,24597640141.2,NA,COD,Democratic Republic of the Congo,COD.15_1,Lualaba,,,Province,Province,,CD.LB
7.76956944686,8.22965828271,8.67371045178,9.22706972036,9.77341619051,10.3008743829,0.000175224336432,0.000157569527704,0.000416756338891,0.000217106146896,0.000941672679769,0.00158628172534,0.00237860494289,0.00189063753597,0.00254201631448,0.00170188620899,0.00182502902334,0.00274551776634,0.0036084004506,8.0,6.0,8.0,8.0,8.0,12.0,13.0,14.0,19.0,15.0,18.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.663783211,0.00192658507259,17890074387.9,NA,COD,Democratic Republic of the Congo,COD.16_1,Maï-Ndombe,,,Province,Province,,CD.MA
